raw_vendor_name,normalized_vendor_name,snfei
CENTRAL STATES MANUFACTURING & SALES CORP,central states manufacturing & sales,ab4fec8660e15824812e71971cd28c630e603c09d86a8ad345247ee4997359c0
ALL CHICAGO MAKING HOMELESSNESS HISTORY,all city of chicago making homelessness history,4227cc4f58d92a4064dac80a02cf97ea30a1b4d041b36b88744830318a4ec422
CHRISOULA KOZONIS & KATHY ROMAS,chrisoula kozonis & kathy romas,a37f424a8d5cfe30f14ab8c966f53da524447e97899de5b0b0d3c96f38047e62
ROSE PEST SOLUTIONS,rose pest solutions,cb9b1165fa920633445ba12b612cbfc7ee16fcfb83a29bc22447d5422de571e4
ROSE PEST SOLUTIONS,rose pest solutions,cb9b1165fa920633445ba12b612cbfc7ee16fcfb83a29bc22447d5422de571e4
NATIONAL LEAGUE OF CITIES 01,national league of cities,67fa73c6bc83067a76473e6b9180dc43a43956a11bf668821f724f6dd03f8393
PRODUCTION DISTRIBUTION COMPANIES,production distribution companies,33034f2c6746ad5e7bbeccda067e77ea2bd88c311b44a992214f797f1fd89298
"ROSSI CONTRACTORS, INC.",rossi contractors incorporated,7b476f240d2fff827599e70e59a0c2618e079d8ab89ae02a7e7ac5baf7406993
"CHICAGO FAMILY HEALTH CENTER, INC.",city of chicago family health center incorporated,e64a3fcde0b145f31a1a46dc2eeed55bf8f9a92062c35be5411c371e1a01265d
PILSEN PARK SHOPPING CENTER,pilsen park shopping center,0e1f00a40125d315485c099e695d086171de808d302f996d83ceaf57ef098ecf
NAK-MAN CORPORATION,nak-man,68eb9fe34ff51fd8738a2d79dfa36fd0064250e3dc6b6affc4575cab627d488d
CHICAGO LIGHTHOUSE FOR PEOPLE WHO ARE BLIND OR VISUALLY IMPAIRED,city of chicago lighthouse for people who are blind or visually impaired,1c37874bb8f2d27f74493820123a729578b927826ea4ea3b2fc8d275b388f606
MICHAEL BAKER JR INC,michael baker jr incorporated,eb65f8c0ebf0a6f6d4fa127b828df0de8e3868a2128a51945bcaa15d36eb475f
8700 BUILDING LLC,8700 building limited liability,7e2f7351bf49075083b2510e0432222aa252aa48811701950c6420e51e858eb1
LEONARD WEITZMAN,leonard weitzman,26df4321329e049d946b02476442f5f0507ae5f6f773309aff777b37e6e9241d
MICHAEL BAKER JR INC,michael baker jr incorporated,eb65f8c0ebf0a6f6d4fa127b828df0de8e3868a2128a51945bcaa15d36eb475f
8700 BUILDING LLC,8700 building limited liability,7e2f7351bf49075083b2510e0432222aa252aa48811701950c6420e51e858eb1
HF GROUP LLC,hf group limited liability,e26cc982d7383e0ee14f41858bcd0a145c8c13f1cbd24e131d52207c65d3264f
EVERY BLOOMIN INDUSTRIAL,every bloomin industrial,0c78a2d9ceb5157684badb1ce84d4c14e5914455f283ef7aeebfffa3a10076f9
"CENTRAL LAWN SPRINKLERS, INC.",central lawn sprinklers incorporated,7f5255840f37589733c7da883fce4832c2af341784bde8ba9d5acbc29a935c1a
"MCGLADREY & PULLEN, LLP",mcgladrey & pullen limited liability partnership,e31d794431907f306aba2723d0e7bdc55d9dfd575a5fcb22a7a2a53917a4dd90
"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP",sga youth & family services,3685669530fe7f85a2bdc37f2b3813577060b0c7d7f164697ec6eb3c943354c2
TURNER-CONCRETE STRUCTURES-LINDAHL TRI VENTURE,turner-concrete structures-lindahl tri venture,d1af2ad9f58a9585c1b9ea026d38705e6b912c6746b02e6df690e92edf619f80
"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP",sga youth & family services,3685669530fe7f85a2bdc37f2b3813577060b0c7d7f164697ec6eb3c943354c2
NORTHWESTERN UNIVERSITY SETTLEMENT ASSOCIATION,northwestern university settlement association,db5c9b753e4df364a64ac7c489cf7982e57033ea7d9400b8ed7fbad89bb1b1bb
PRIMO CENTER FOR WOMEN & CHILDREN,primo center for women & children,ecc18e7816cd609df9f408226294b93e9fc4a57aaeeb084a379deb22f5cdb0c2
"ALIVIO MEDICAL CENTER,INC",alivio medical center,f2a6c1316c496bf4815be3cc9daa675588833bf17f8c057cf1a315bc9df22659
LADDER UP,ladder up,c24e87243f2d71dc771a2385383a4a4b1ba70dc611cdd54d78b5d3d26a9086e0
MARTIN IMPLEMENT SALES,martin implement sales,8f9f9f282042d77a9014dbd95aa4a16a0572f67c4708c2e33239540e5c07b3d0
MEGA GROUP,mega group,ffebcee1f625698871647a1c6e87178e6ff18cbf522ddd13ad47cbeae327f20a
"CHICAGO UNITED INDUSTRIES, LIMITED",city of chicago united industries limited,dbc190523c13373aea79ba9138e969699c55a13eb279f0bb668fe6faa119d954
PRODUCTION DISTRIBUTION COMPANIES,production distribution companies,33034f2c6746ad5e7bbeccda067e77ea2bd88c311b44a992214f797f1fd89298
PULASKI-ELSTON BUSINESS ASSOC.,pulaski-elston business associates,d359e22a796334f28141e4dcc5dc647292887461005a2586e6514af890a7fc88
CASA CENTRAL SOCIAL SERVICES CORPORATION,casa central social services,967409e441c2c60b5c2b167cdac98eba37ed27fd17676b15468a8a571fb25f36
DOLEJS REALTY & MANAGEMENT SERVICES,dolejs realty & management services,e01a72e241ff9f1335bfd1530d986ab83828fa827923c7ad212c58f92aeacbe2
CODE GROUP,code group,fec8faf104a36a19c56288a3751ca8a6bcff19bea57b1f2a36b1a3de7cab76df
OPERATION ABLE 01,operation able,ce8b0445064ff4693a47ea32e18237a199c28f6f0a9672db838c5720c21666a6
CODE GROUP,code group,fec8faf104a36a19c56288a3751ca8a6bcff19bea57b1f2a36b1a3de7cab76df
PERK PRODUCTS INC,perk products incorporated,5dc5443f541056ec0b856388929e3eabe11cb422630d0841b4b086b04d346f3d
WALSH/II IN ONE (JV),walsh/ii in one (jv),46ca8217ddb999c23869769a7c34f027890c053c9e949bdb3021398ddbb5c48f
PRODUCTION DISTRIBUTION COMPANIES,production distribution companies,33034f2c6746ad5e7bbeccda067e77ea2bd88c311b44a992214f797f1fd89298
COALITION OF LIMITED ENGLISH SPEAKING ELDERLY,coalition of limited english speaking elderly,3a846f8adbdd5d6e5d1bea8fda7f3ae71d806d835c27e0925d2c3abb5bd275f3
TURNER-CONCRETE STRUCTURES-LINDAHL TRI VENTURE,turner-concrete structures-lindahl tri venture,d1af2ad9f58a9585c1b9ea026d38705e6b912c6746b02e6df690e92edf619f80
FRIEND FAMILY HEALTH CENTER,friend family health center,52210e3480afa3e921a5e2307216bc8b69fcd7b5fc855bf20128a0972edf6de9
ROLLING R GOLF CARTS,rolling r golf carts,53c4151ea765a86d5a2d642b68ebdf2634c00fbf86502cb708c4afa8fe8961ff
CIVILTECH ENGINEERING INC,civiltech engineering incorporated,1f622fee8190b552ab79dd4736884d6362b74257b8380d6cefe4a55168774238
